Gene_ID,Transcript_ID,Average Oocyte(RPKM),Average Zygote(RPKM),Average 2-cell embryo(RPKM),Average 4-cell embryo(RPKM),Average 8-cell embryo(RPKM),Average Morulae(RPKM),Average Trophectoderm(RPKM),Average Primitive endoderm(RPKM),Average epiblast(RPKM),Average hESC passage#0(RPKM),Average hESC passage#10(RPKM)
LOC150776,"NR_026922, ",0.142,0.322,0.735,0.558,10.551,8.352,3.104,1.176,3.671,3.853,3.054
MIR192,"NR_029578, ",0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0
REP15,"NM_001029874, ",0.0,0.0,0.213,1.426,0.292,1.299,2.28,0.0,0.0,2.732,0.728
ZC3H3,"NM_015117, ",12.175,6.551,4.792,8.818,2.297,0.988,3.263,2.34,0.253,1.799,3.39
RASAL1,"NM_001193520, NM_001193521, NM_004658, ",0.0,0.0,0.0,0.059,0.031,0.012,0.0,0.0,0.0,0.252,1.009
DDAH1,"NM_001134445, NM_012137, ",2.511,3.653,1.489,1.659,0.558,0.224,2.692,0.079,0.036,6.485,7.214
ACBD5,"NM_001042473, NM_145698, NR_024150, ",0.529,0.046,0.175,0.893,18.99,16.495,1.626,2.839,1.909,4.184,2.629
TMC2,"NM_080751, ",0.0,0.078,0.0,0.015,0.026,0.0,0.0,0.0,0.0,0.0,0.0
UGT2B15,"NM_001076, NM_001076, NM_001076, ",0.0,0.0,0.0,0.009,0.022,0.08,0.008,0.0,0.0,0.521,0.0
TIPARP,"NM_001184717, NM_001184718, NM_015508, ",134.034,141.144,135.078,94.114,37.003,13.065,4.157,2.164,4.297,2.873,2.719
SAMD13,"NM_001010971, NM_001134663, NM_001134664, ",0.0,0.0,0.0,0.0,0.181,0.0,0.0,0.0,0.256,1.77,0.281
CCDC137,"NM_199287, ",96.219,79.257,80.387,64.225,33.022,46.746,31.012,33.485,51.251,19.928,24.093
DNASE1L3,"NM_004944, ",0.055,0.0,0.059,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0
DHRS7C,"NM_001105571, ",0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF2IP,"NM_004719, ",12.067,12.26,8.583,10.721,15.113,14.992,24.849,13.583,17.041,10.759,12.834
EXD2,"NM_001193360, NM_001193361, NM_001193362, NM_001193363, NM_018199, NR_034164, NR_034165, ",4.102,3.755,2.405,3.842,1.094,3.196,4.917,1.917,2.583,4.38,3.9
TRIM72,"NM_001008274, ",0.0,0.0,0.0,0.0,0.022,0.131,0.033,0.0,0.061,0.049,0.009
DBX2,"NM_001004329, ",0.0,0.0,0.0,0.0,0.235,0.407,0.0,0.0,0.0,0.0,0.0
IPO8,"NM_001190995, NM_006390, ",135.395,199.636,221.367,122.022,25.035,4.677,6.464,2.509,1.949,7.248,7.369
C21orf88,"NR_026542, NR_026543, ",0.875,0.073,0.185,0.428,0.0,0.0,0.0,0.0,0.0,9.581,11.808
MAP3K14,"NM_003954, ",0.176,0.481,0.256,0.635,0.374,1.096,0.043,0.0,0.0,0.333,0.573
LOC643955,"NR_003952, ",0.0,0.0,0.06,0.279,16.901,12.812,0.006,0.0,0.618,0.0,0.0
PIBF1,"NM_006346, ",6.455,6.826,5.928,6.051,2.575,4.314,4.96,1.292,1.49,1.734,1.062
CCNI2,"NM_001039780, ",3.92,21.802,19.022,24.288,1.52,0.493,1.479,0.0,0.0,0.081,0.024
PDE6D,"NM_002601, ",0.766,1.192,0.391,0.215,1.93,1.616,15.687,13.187,16.514,18.291,12.622
