Gene_ID,Transcript_ID,Average Oocyte(RPKM),Average Zygote(RPKM),Average 2-cell embryo(RPKM),Average 4-cell embryo(RPKM),Average 8-cell embryo(RPKM),Average Morulae(RPKM),Average Trophectoderm(RPKM),Average Primitive endoderm(RPKM),Average epiblast(RPKM),Average hESC passage#0(RPKM),Average hESC passage#10(RPKM)
DARS2,"NM_018122, ",2.131,2.11,1.503,2.824,2.508,10.237,23.844,18.197,17.331,16.044,12.591
NBPF24,"NM_001101663, NM_001101663, ",7.4,3.57,4.075,3.85,2.21,3.785,2.69,0.607,9.616,7.782,5.157
CDC25A,"NM_001789, NM_201567, ",55.798,72.396,47.372,39.915,50.988,68.588,41.046,17.542,26.638,23.301,18.252
DPH1,"NM_001383, ",0.079,0.557,0.378,0.751,3.508,10.673,12.385,17.371,9.448,10.973,10.075
BAIAP2L1,"NM_018842, ",27.959,70.816,75.469,95.7,41.276,22.756,53.89,28.184,6.556,6.214,11.921
CASS4,"NM_001164114, NM_001164115, NM_001164116, NM_020356, ",0.5,0.244,0.259,0.63,0.163,0.0,0.0,0.0,0.0,0.149,0.139
B3GNT5,"NM_032047, ",0.632,1.943,1.232,1.608,1.917,0.443,1.711,0.02,0.199,1.16,1.197
USP29,"NM_020903, ",0.0,0.0,0.0,3.419,7.302,0.921,0.0,0.0,0.0,0.0,0.0
ARHGEF10L,"NM_001011722, NM_018125, ",0.034,0.0,0.096,0.068,0.38,0.0,0.0,0.135,0.0,1.767,3.49
ATOX1,"NM_004045, ",20.813,10.965,9.513,14.11,16.721,23.169,39.336,123.498,81.203,37.752,74.316
STT3A,"NM_152713, ",10.921,22.991,21.142,30.208,25.844,1.916,6.165,6.361,1.304,8.552,10.284
DNASE1,"NM_005223, ",0.476,0.347,0.243,0.529,3.926,2.86,0.545,2.557,0.657,0.331,0.818
C1orf106,"NM_001142569, NM_018265, ",0.034,0.0,0.029,0.199,0.021,1.031,14.76,10.043,24.409,9.576,10.06
PTN,"NM_002825, ",162.953,124.407,108.381,59.767,18.023,6.657,76.068,52.619,9.005,14.356,30.892
HECA,"NM_016217, ",0.469,0.574,0.381,1.316,6.034,4.123,1.814,0.365,0.096,1.151,2.74
RNF122,"NM_024787, ",5.584,92.665,89.717,114.796,9.342,0.775,0.007,0.0,0.0,0.534,0.207
SLC22A18AS,"NM_007105, ",0.0,0.0,0.0,0.094,0.021,0.398,0.0,0.0,0.0,0.0,0.0
GNG8,"NM_033258, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.311
ELP4,"NM_019040, ",16.775,7.683,4.237,6.855,14.362,3.686,13.402,12.09,7.476,11.95,15.027
FAM65A,"NM_001193522, NM_001193523, NM_001193524, NM_024519, ",0.0,0.0,0.0,0.0,0.483,1.088,0.195,0.445,0.0,0.419,1.534
RPL10A,"NM_007104, ",515.595,351.623,691.949,1357.354,2063.245,2614.623,2561.697,3297.607,2836.688,2940.16,3120.775
IRS4,"NM_003604, ",0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.769,0.055
MACF1,"NM_012090, NM_033044, ",1.384,1.332,0.854,0.974,1.42,4.349,2.589,1.266,3.837,10.063,6.976
SEC24D,"NM_014822, ",0.457,0.322,0.188,0.361,1.992,2.771,0.68,1.411,10.423,29.051,14.212
LOC100133920,"NR_024443, NR_024443, ",0.0,0.0,0.0,0.03,0.022,0.0,0.038,0.0,0.021,0.0,0.0
TGFB2,"NM_001135599, NM_003238, ",0.0,0.0,0.0,0.0,4.356,2.844,0.0,0.0,0.0,0.0,0.005
CHRNE,"NM_000080, ",1.107,2.87,2.114,2.951,1.488,1.676,0.511,0.225,0.0,0.122,0.156
MDFIC,"NM_001166345, NM_001166346, NM_199072, ",0.0,0.0,0.0,0.0,0.038,0.185,0.246,0.0,0.156,0.022,0.36
NCF1B,"NR_003186, ",0.0,0.0,0.048,0.049,0.1,0.308,0.0,0.0,0.0,0.0,0.169
TMEM160,"NM_017854, ",0.0,0.062,0.048,0.058,0.434,0.045,0.0,0.0,0.0,0.0,0.0
PCMTD2,"NM_001104925, NM_018257, ",6.091,10.0,4.805,4.625,3.717,9.669,4.229,12.666,6.562,18.919,8.176
ATP6V0D1,"NM_004691, ",13.516,78.686,63.581,156.765,61.054,32.341,48.033,32.218,58.598,26.322,41.302
MTA2,"NM_004739, ",0.578,1.76,1.639,1.304,2.623,0.937,1.231,2.011,0.667,1.934,2.245
AXIN1,"NM_003502, NM_181050, ",3.485,2.963,2.132,2.554,4.066,4.271,3.55,5.843,0.776,15.574,4.373
LZTR1,"NM_006767, ",0.0,0.255,0.285,0.124,0.11,0.263,0.88,0.438,0.037,3.327,1.468
RAP1A,"NM_001010935, NM_002884, ",73.659,58.267,29.825,20.211,52.262,32.141,88.857,69.286,108.965,20.906,19.143
TRIO,"NM_007118, ",6.923,12.501,9.085,20.27,6.61,0.909,0.259,1.325,0.361,0.894,2.772
POLR1C,"NM_004875, NM_203290, ",34.139,16.298,15.224,35.364,144.158,117.066,57.898,69.237,40.226,41.026,49.264
ZNF385D,"NM_024697, ",0.135,0.311,0.046,0.508,0.073,0.051,0.0,0.0,0.0,0.0,2.502
C5orf33,"NM_001085411, NM_153013, ",5.395,3.548,2.3,2.167,0.732,0.417,0.75,1.455,2.84,3.8,3.246
DEPDC1B,"NM_001145208, NM_018369, ",20.249,19.118,16.676,26.362,34.124,11.331,11.966,13.06,19.288,42.248,31.5
ZNF473,"NM_001006656, NM_015428, ",0.79,4.759,2.517,7.368,45.846,22.164,6.461,4.175,8.672,2.904,0.88
WEE2,"NM_001105558, ",2399.368,4006.638,4242.068,3116.342,171.519,76.227,0.305,0.035,0.058,0.0,1.222
GPR107,"NM_001136557, NM_001136558, NM_020960, ",4.969,7.243,5.537,8.519,4.463,3.185,3.726,4.585,2.934,3.795,3.101
MTM1,"NM_000252, ",20.906,23.175,10.755,18.322,2.937,3.36,1.063,5.089,4.119,2.187,3.021
CSNK1A1L,"NM_145203, ",0.0,0.0,0.0,0.0,0.581,5.749,0.019,0.0,0.0,0.0,0.0
NLRC4,"NM_021209, ",0.0,0.04,0.0,0.0,0.844,1.455,0.139,0.0,4.898,0.043,0.016
ENPP4,"NM_014936, ",0.039,0.052,0.0,0.0,0.039,0.088,0.049,1.453,0.0,0.95,0.628
PADI3,"NM_016233, ",0.0,0.038,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF170,"NM_001160223, NM_001160224, NM_001160225, NM_030954, NR_027668, NR_027669, ",15.407,8.879,5.72,9.331,3.565,3.417,8.568,6.1,11.077,6.791,7.351
C16orf7,"NM_004913, ",0.037,0.232,0.111,0.061,0.055,0.041,0.153,0.119,0.022,0.438,0.232
KCNE1,"NM_000219, NM_001127668, NM_001127669, NM_001127670, ",0.28,0.859,1.475,0.701,0.111,0.0,0.0,0.0,0.0,0.094,0.0
SLC37A3,"NM_032295, NM_207113, ",0.128,0.097,0.057,0.954,15.047,33.999,21.622,22.405,36.523,11.613,10.764
NRM,"NM_007243, NM_007243, NM_007243, NM_007243, NM_007243, NM_007243, NM_007243, ",0.0,0.0,0.069,0.88,5.595,4.478,5.697,10.559,4.135,18.415,37.201
C14orf23,"NR_026731, NR_026732, ",2.685,4.165,4.129,2.536,5.64,14.938,6.557,5.193,8.141,9.866,13.747
MTCP1NB,"NM_001018024, ",9.577,10.846,9.614,10.438,5.349,0.819,1.721,4.163,18.397,7.748,8.562
TPD52L2,"NM_003288, NM_199359, NM_199360, NM_199361, NM_199362, NM_199363, ",15.798,12.126,8.065,16.858,82.337,46.337,39.037,61.016,19.783,54.488,42.341
UNC5B,"NM_170744, ",0.0,0.0,0.0,0.012,0.017,0.524,0.557,0.853,22.765,10.56,10.732
PRR24,"NM_178511, ",0.048,0.063,0.318,0.42,0.137,0.615,0.044,0.0,0.0,0.136,0.803
C12orf12,"NM_152638, ",0.0,0.0,0.0,0.0,0.221,0.045,0.0,0.0,0.0,0.0,0.0
SDHB,"NM_003000, ",256.127,86.122,101.393,117.972,83.099,88.175,274.552,262.577,148.897,101.383,78.019
CLRN1,"NM_052995, NM_174878, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUDT10,"NM_153183, ",0.512,0.445,0.21,0.456,1.543,0.0,0.0,0.0,0.0,16.376,8.858
UGT3A1,"NM_001171873, NM_152404, ",0.0,0.0,0.0,0.0,0.023,0.04,0.0,0.0,0.0,0.096,0.065
MFSD6,"NM_017694, ",0.338,0.608,0.11,0.176,0.286,0.012,2.316,0.0,0.0,1.02,0.611
FBXW8,"NM_012174, NM_153348, ",0.259,0.151,0.131,0.031,0.231,0.203,0.399,0.0,0.286,1.428,1.883
TTTY15,"NR_001545, ",0.0,0.0,0.0,0.0,0.232,6.072,2.059,0.0,2.351,7.808,8.239
RHOF,"NM_019034, ",0.184,0.185,0.307,0.718,2.094,4.404,2.337,3.198,7.492,8.095,4.931
PTPLAD1,"NM_016395, ",1.325,0.586,0.29,0.449,33.903,106.144,97.083,74.558,66.186,93.14,114.782
MYO3B,"NM_001083615, NM_001171642, NM_138995, ",3.838,2.964,1.15,4.407,0.952,0.833,0.415,0.0,0.0,0.599,0.024
LOC729862,"NR_033961, ",0.08,0.0,0.05,0.02,0.028,0.009,0.053,0.0,0.0,0.0,0.0
DERA,"NM_015954, ",74.406,34.526,21.024,25.947,7.683,2.887,30.203,17.878,33.87,8.874,13.059
FAM95B1,"NR_026759, NR_026759, ",0.0,0.0,0.0,0.018,0.203,0.467,0.0,0.0,0.0,0.0,0.104
TPP2,"NM_003291, ",13.491,14.071,12.302,19.402,9.267,8.334,17.546,10.792,5.423,19.347,24.525
GINS3,"NM_001126129, NM_001126130, NM_022770, ",64.423,45.701,36.245,58.977,190.483,152.194,37.199,33.122,103.426,15.891,16.988
C19orf53,"NM_014047, ",3.272,8.621,5.77,18.102,111.759,150.637,29.442,57.226,25.205,36.827,50.746
PLIN4,"NM_001080400, ",0.0,0.0,0.0,0.015,0.643,0.55,0.0,0.0,0.0,0.0,0.02
ST6GALNAC5,"NM_030965, ",0.162,1.566,0.622,2.446,0.178,0.19,0.0,0.0,0.0,2.196,0.426
CHSY1,"NM_014918, ",8.177,23.17,10.937,14.342,2.493,3.108,3.975,2.334,1.686,11.402,9.752
FOXR2,"NM_198451, ",0.0,0.0,0.0,0.0,0.217,0.905,0.0,0.0,0.0,0.0,0.0
GPR83,"NM_016540, ",0.592,0.294,0.292,0.12,0.94,2.44,0.084,0.076,0.092,0.206,0.225
LOC650293,"NM_001040071, ",0.0,0.0,0.0,0.0,0.561,0.021,0.014,0.422,0.0,0.0,0.814
EXT2,"NM_000401, NM_001178083, NM_207122, ",5.094,5.933,4.253,11.484,1.152,1.212,7.241,8.832,2.023,11.946,6.233
ZSCAN30,"NM_001112734, NM_001166012, ",0.079,0.29,0.045,0.553,0.71,0.577,0.265,0.017,0.04,0.926,1.15
DOLK,"NM_014908, ",7.393,5.543,3.006,6.099,4.214,9.251,21.862,8.538,3.915,14.902,16.483
TUBAL3,"NM_001171864, NM_024803, ",23.964,44.911,36.777,57.735,10.319,0.755,0.0,0.0,0.0,0.0,0.01
ABL2,"NM_001136000, NM_001136001, NM_001168236, NM_001168237, NM_001168238, NM_001168239, NM_005158, NM_007314, ",5.671,7.464,5.704,6.795,5.584,4.272,4.196,1.884,14.684,5.847,7.028
ACVRL1,"NM_000020, NM_001077401, ",0.0,0.0,0.042,0.255,0.009,0.07,0.0,0.0,9.748,0.0,0.0
C14orf156,"NM_031210, ",77.231,44.538,34.614,8.816,87.595,169.659,293.667,754.338,485.324,283.222,454.129
PTPRZ1,"NM_002851, ",0.53,0.255,0.167,0.5,0.081,0.0,0.0,0.027,0.206,19.983,11.632
DIP2C,"NM_014974, ",2.424,3.129,2.572,5.836,1.893,1.091,1.067,0.0,0.1,1.55,1.378
LAMP1,"NM_005561, ",20.972,15.541,14.024,12.181,15.222,11.517,31.968,27.998,11.206,15.257,22.392
LASS1,"NM_021267, NM_198207, ",0.208,0.74,0.531,0.423,0.663,1.081,0.0,0.0,0.0,0.457,1.312
RXRA,"NM_002957, ",0.199,0.552,0.329,1.511,0.031,0.0,1.107,3.638,0.113,2.873,5.558
MAP3K5,"NM_005923, ",2.873,2.706,2.182,3.505,0.657,1.163,4.251,0.075,0.051,1.145,0.756
NCRNA00169,"NR_026675, ",0.278,0.448,0.406,0.294,0.225,0.476,0.143,0.067,0.206,1.047,0.374
ALKBH1,"NM_006020, ",52.827,42.217,26.518,29.978,32.969,34.178,15.45,15.211,17.026,11.915,10.151
PDLIM7,"NM_005451, NM_203352, NM_213636, ",0.0,0.288,0.197,0.345,4.6,7.895,2.296,6.745,7.346,5.079,26.356
SCARNA10,"NR_004387, ",0.046,2.057,2.401,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
SNIP1,"NM_024700, ",17.587,20.969,12.828,23.08,52.879,9.61,3.929,2.265,6.873,7.478,2.991
ARL14,"NM_025047, ",0.0,0.041,0.0,0.051,0.577,0.0,0.0,0.0,0.0,0.0,0.0
MSL3,"NM_001193270, NM_006800, NM_078628, NM_078629, NM_078630, ",35.715,31.65,25.296,44.253,18.031,13.514,9.239,12.086,13.06,11.39,4.878
TIMP3,"NM_000362, ",0.099,0.0,0.019,0.191,0.255,0.323,0.553,0.0,0.022,1.778,1.854
RGS3,"NM_017790, NM_021106, NM_130795, NM_134427, NM_144488, NM_144489, ",0.0,0.15,0.09,1.123,0.191,0.043,0.786,0.0,0.0,2.066,3.012
SPAG16,"NM_001025436, NM_024532, ",55.933,15.449,13.121,26.381,4.739,2.02,1.442,3.294,3.729,19.239,12.913
NBPF22P,"NR_003719, ",0.0,0.0,0.0,0.014,0.122,0.288,0.029,0.0,0.0,0.0,0.0
MIR98,"NR_029513, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.021
ABHD4,"NM_022060, ",0.049,0.045,0.0,0.049,0.35,0.0,3.858,3.006,0.0,5.531,12.568
ARHGEF12,"NM_015313, ",11.547,17.361,11.656,14.195,5.14,4.738,2.53,2.399,4.167,4.335,1.696
GLUD2,"NM_012084, ",0.392,0.697,0.367,0.936,5.864,5.377,5.42,3.471,6.141,1.76,1.184
RAC2,"NM_002872, ",35.332,37.872,33.927,52.206,16.27,0.464,0.977,0.0,7.797,0.0,1.03
UAP1L1,"NM_207309, ",0.0,0.0,0.037,0.02,0.101,0.54,10.183,5.058,7.025,0.468,1.355
PRICKLE3,"NM_006150, ",0.0,0.045,0.0,0.0,0.194,0.194,0.378,0.623,0.022,0.786,0.556
YOD1,"NM_018566, ",0.0,0.0,0.022,0.07,12.228,2.876,3.36,2.905,0.694,1.759,1.028
RALY,"NM_007367, NM_016732, ",17.932,38.17,44.06,52.893,26.404,24.021,6.546,18.742,12.789,14.367,16.772
SHISA3,"NM_001080505, ",0.0,0.0,0.0,0.117,3.423,3.522,0.0,0.0,0.541,6.404,20.397
HMOX2,"NM_001127204, NM_001127205, NM_001127206, NM_002134, ",4.368,4.949,5.138,9.922,41.165,38.811,41.961,46.568,35.264,32.092,26.104
YIPF4,"NM_032312, ",0.744,1.972,0.654,0.468,5.634,21.482,3.838,1.778,10.856,3.608,1.95
DGKH,"NM_152910, NM_178009, ",0.0,0.0,0.0,0.0,0.316,0.822,0.0,0.0,0.0,0.017,0.209
DBNDD2,"NM_001048221, NM_001048222, NM_001048223, NM_001048224, NM_001048225, NM_001048226, ",0.342,0.0,0.035,0.0,5.15,10.005,24.682,12.012,3.764,22.961,26.931
THAP10,"NM_020147, ",3.961,5.78,3.766,5.116,1.633,0.098,0.498,0.135,0.0,3.669,1.57
ZNF513,"NM_144631, ",43.189,14.061,16.181,19.642,6.843,8.54,5.768,6.892,11.054,9.215,11.914
FOLH1B,"NM_153696, ",0.0,0.0,0.0,0.0,0.402,0.258,0.0,0.0,0.0,0.0,0.06
USP17L6P,"NR_027279, ",0.0,0.038,0.115,1.279,0.092,0.164,0.0,0.0,0.0,0.0,0.0
HAGHL,"NM_032304, NM_207112, ",0.059,0.0,0.0,0.09,0.0,0.0,0.036,0.0,0.118,2.861,2.222
CCDC141,"NM_173648, ",3.22,1.564,1.329,2.123,0.564,2.118,0.767,1.625,0.5,4.046,0.562
ITGB4,"NM_000213, NM_001005619, NM_001005731, ",0.257,0.357,0.291,0.577,0.172,0.0,0.019,0.0,0.0,0.237,0.472
MIR635,"NR_030365, ",0.17,0.0,0.073,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.053
YTHDF3,"NM_152758, ",7.915,12.266,7.923,10.398,62.094,21.588,12.32,7.384,14.065,18.161,10.206
TMEM150B,"NM_001085488, ",0.747,2.871,1.454,5.871,2.485,0.082,0.0,0.0,0.0,0.0,0.005
C5orf28,"NM_022483, ",0.18,0.298,0.22,0.756,6.694,11.036,2.497,1.72,0.437,4.907,2.214
MURC,"NM_001018116, ",0.0,0.061,0.047,0.017,0.006,0.207,0.005,0.0,1.81,3.978,4.775
RPL7L1,"NM_198486, ",32.736,24.159,12.28,14.345,224.618,305.431,272.477,236.412,187.15,239.698,206.016
TMEM30B,"NM_001017970, ",0.059,0.524,0.119,1.103,0.724,0.0,0.039,0.918,0.0,3.399,1.141
ANKRD35,"NM_144698, ",0.0,0.0,0.0,0.664,10.481,1.824,0.0,0.0,0.0,0.777,2.162
DUOXA2,"NM_207581, ",0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D5,"NM_001134380, NM_001134381, NM_014744, ",3.692,2.856,1.254,3.138,0.785,1.058,4.308,2.145,11.431,3.994,4.223
DFNB59,"NM_001042702, ",0.307,0.0,0.053,0.0,0.386,0.123,0.0,0.0,6.425,1.965,1.521
HRH4,"NM_001143828, NM_001160166, NM_021624, ",0.308,0.169,0.0,0.058,0.25,0.155,0.643,0.033,0.234,0.126,0.281
MYO6,"NM_004999, ",23.832,18.722,16.207,20.732,11.607,4.721,11.347,5.755,2.458,6.805,6.038
DNAJA4,"NM_001130182, NM_001130183, NM_018602, ",3.666,26.57,15.211,27.897,9.682,1.341,3.85,0.526,1.148,3.362,0.806
RBM24,"NM_001143941, NM_001143942, NM_153020, ",0.0,0.0,0.0,0.118,3.306,3.719,0.357,0.0,0.185,2.971,0.196
TMEM223,"NM_001080501, ",2.255,1.88,1.458,2.892,13.955,22.053,91.221,74.492,41.07,89.7,112.034
AKIRIN2,"NM_018064, ",315.028,232.966,176.855,178.038,79.894,31.514,17.894,13.068,54.083,42.182,18.061
CEACAM20,"NM_001102597, NM_001102598, NM_001102599, NM_001102600, ",0.0,0.0,0.0,0.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM23,"NM_001077351, NM_001077352, NM_018107, ",1.618,16.986,13.854,25.57,7.895,2.152,5.912,6.099,4.401,0.731,2.246
C1orf63,"NM_020317, ",12.886,4.051,3.234,7.424,415.958,78.672,50.446,11.489,3.609,45.706,34.915
KRTAP7-1,"NM_181606, ",0.204,0.0,0.052,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0
NPB,"NM_148896, ",0.0,0.0,0.0,0.0,0.02,0.277,0.0,0.0,0.0,0.034,0.0
C17orf59,"NM_017622, ",0.048,0.083,0.196,0.205,13.01,20.709,4.921,4.34,0.765,1.445,1.206
HSPBAP1,"NM_024610, ",22.976,13.517,14.006,17.724,1.766,0.949,1.153,3.119,0.31,2.018,0.979
LOC644189,"NR_033748, ",0.339,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0
SLC15A4,"NM_145648, ",15.851,29.938,16.164,13.225,1.932,1.883,30.971,18.417,31.61,22.97,9.711
OSMR,"NM_001168355, NM_003999, ",1.68,1.142,1.158,1.344,1.175,0.735,0.199,0.106,0.269,0.213,0.353
PRTFDC1,"NM_020200, ",0.0,0.0,0.0,0.073,0.624,0.645,2.987,0.142,3.689,13.918,13.59
CYSLTR2,"NM_020377, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C19orf25,"NM_152482, ",0.511,1.923,1.044,1.058,16.699,10.292,11.754,14.736,1.068,14.595,29.568
KIAA1797,"NM_017794, ",0.397,1.273,0.964,2.309,2.71,2.097,3.819,1.46,4.186,6.15,7.233
FAM105B,"NM_138348, ",4.538,10.057,6.139,5.258,1.532,2.114,1.514,2.073,3.102,2.191,3.075
TRNAU1AP,"NM_017846, NR_003109, ",1.671,3.866,2.922,4.894,33.78,55.005,32.162,29.979,17.409,16.851,28.764
SCRN2,"NM_001145023, NM_138355, ",0.93,1.119,1.251,0.983,0.493,1.448,2.057,11.724,0.158,15.934,14.514
RNF17,"NM_001184993, NM_031277, ",8.459,10.944,10.634,7.676,7.677,8.254,1.461,0.023,3.594,0.0,0.0
LRRC58,"NM_001099678, ",0.511,0.524,0.75,0.743,1.664,3.669,6.808,12.347,4.74,8.917,12.137
NEIL3,"NM_018248, ",2.999,3.386,2.849,2.577,0.446,1.463,1.648,0.022,0.258,2.363,1.039
SKP2,"NM_005983, NM_032637, ",853.551,437.921,467.139,386.577,21.028,5.493,35.639,32.508,21.316,33.922,20.048
HNRPA1L-2,"NR_002944, ",255.57,310.82,372.077,303.965,477.19,502.076,428.131,547.045,414.616,438.136,505.634
PARVA,"NM_018222, ",2.793,7.627,3.533,7.187,6.31,11.013,4.887,6.083,4.302,5.611,5.044
RPL13AP20,"NR_003932, ",37.802,23.795,34.514,80.619,87.725,126.594,189.909,152.527,158.783,143.708,131.27
RNF34,"NM_025126, NM_194271, ",1354.847,754.329,1259.388,954.949,243.899,81.897,45.082,75.717,31.613,105.018,37.408
PKLR,"NM_000298, NM_181871, ",0.0,0.0,0.0,0.0,0.484,0.938,0.0,0.0,0.0,0.236,0.724
C12orf50,"NM_152589, ",0.0,0.0,0.0,0.01,0.329,8.041,0.071,0.0,0.0,0.0,0.0
FAM102B,"NM_001010883, ",1.003,1.031,0.433,0.612,1.034,3.307,0.675,6.013,6.866,3.577,0.86
LOC728407,"NR_029388, ",1.098,1.348,0.559,0.913,2.652,4.202,1.546,1.548,1.255,2.184,3.485
CCT2,"NM_006431, ",186.65,189.721,226.365,144.025,284.596,233.429,480.294,411.436,473.559,324.872,355.411
LRRC37A2,"NM_001006607, NM_001006607, ",0.0,0.224,0.054,0.096,1.07,0.937,0.382,0.088,0.994,1.917,1.286
RBMY1F,"NM_152585, NM_152585, ",0.0,0.0,0.0,0.0,1.006,6.919,0.423,0.0,0.245,0.057,0.0
ARF4,"NM_001660, ",66.946,53.355,30.225,30.575,113.168,139.196,320.462,289.794,282.498,401.786,256.718
TMPRSS11E,"NM_014058, NM_014058, ",0.131,0.0,0.091,0.61,0.006,0.0,5.097,0.0,4.955,0.942,0.257
C8orf48,"NM_001007090, ",0.056,0.528,0.392,0.097,0.0,0.0,0.0,1.538,0.0,0.0,0.334
PPP6R1,"NM_014931, ",7.198,5.736,4.887,10.487,3.034,3.667,10.243,9.834,8.78,5.531,7.563
MBTPS1,"NM_003791, ",11.558,12.868,7.087,14.379,6.338,0.941,9.104,12.608,1.556,16.115,12.345
NCF2,"NM_000433, NM_001127651, NM_001190789, NM_001190794, ",1.692,6.954,5.813,16.167,1.448,0.864,6.37,0.639,0.15,0.057,0.053
SLC12A6,"NM_001042494, NM_001042495, NM_001042496, NM_001042497, NM_005135, NM_133647, ",3.268,4.238,2.7,4.67,4.447,3.991,2.851,2.06,8.231,3.468,2.917
HMGN3,"NM_004242, NM_138730, ",0.0,0.0,0.063,0.0,0.649,7.733,22.745,16.905,67.074,274.453,276.191
MRPL48,"NM_016055, ",3.207,2.497,2.278,5.064,31.729,119.363,111.318,107.908,138.521,45.312,51.59
CAPN14,"NM_001145122, ",0.058,0.096,0.26,0.529,0.0,0.0,0.0,0.0,0.071,0.0,0.0
PAX9,"NM_006194, ",4.386,7.278,6.335,8.727,3.748,3.817,0.035,0.861,0.0,0.0,0.016
SNORA44,"NR_002976, ",0.0,0.0,0.592,0.0,0.163,0.273,0.0,0.0,0.0,0.067,0.227
SCML2,"NM_006089, NR_033717, ",5.338,5.62,2.856,5.088,8.124,7.008,2.86,5.006,11.289,9.236,6.947
BCL9,"NM_004326, ",4.477,8.345,7.386,8.87,3.663,0.628,1.596,1.836,3.446,3.142,1.898
FAM40A,"NM_033088, ",13.008,16.752,10.266,20.976,3.836,3.062,3.408,6.504,5.114,3.956,6.112
C9orf41,"NM_152420, ",2.201,3.556,2.196,3.936,3.02,3.065,3.972,0.799,0.881,2.897,1.917
ZNF774,"NM_001004309, ",0.0,0.14,0.063,0.528,1.038,1.015,0.0,0.921,0.0,0.0,0.333
LETM1,"NM_012318, ",0.558,1.823,1.802,2.036,1.87,11.501,19.002,16.635,10.905,3.082,7.374
PLXNB1,"NM_001130082, NM_002673, ",0.0,0.0,0.0,0.0,0.0,0.093,0.748,0.61,0.0,4.238,4.641
USP10,"NM_005153, ",76.732,129.276,82.13,96.482,73.806,73.533,94.957,90.984,74.387,135.2,96.62
NIPSNAP1,"NM_003634, ",1.394,3.59,3.56,5.928,4.007,3.75,7.613,7.653,7.066,22.334,49.541
F9,"NM_000133, ",0.043,0.391,0.137,0.485,0.613,0.0,0.0,0.0,0.0,0.0,0.0
CNGB3,"NM_019098, ",3.0,1.962,1.024,1.185,0.153,0.0,0.0,0.0,0.0,0.0,0.0
LIPE,"NM_005357, ",0.271,0.839,0.753,2.293,0.075,0.0,0.0,0.0,0.0,0.0,0.054
MPPED1,"NM_001044370, ",0.212,0.0,0.057,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.021
C12orf52,"NM_032848, ",0.192,1.587,0.939,0.527,4.848,15.969,15.777,27.857,3.338,20.667,19.182
PI4K2A,"NM_018425, ",0.19,0.802,0.535,0.143,5.455,9.874,3.266,9.873,9.341,2.614,5.345
MED8,"NM_052877, NM_201542, ",56.91,68.81,51.425,39.151,23.138,49.813,38.298,32.734,19.287,17.564,15.359
STAT4,"NM_003151, ",0.0,0.0,0.038,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF145,"NM_144726, ",10.978,15.538,9.733,9.586,14.659,21.27,9.111,1.964,5.436,5.264,3.633
FGD4,"NM_139241, ",9.537,11.582,7.103,12.321,3.0,2.94,2.099,1.814,5.019,7.602,8.068
CLDN2,"NM_001171092, NM_001171095, NM_020384, ",0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.056
TCEAL8,"NM_001006684, NM_153333, ",0.083,0.175,0.412,0.153,5.975,7.406,25.172,50.358,84.513,177.632,168.402
ZMYND8,"NM_012408, NM_183047, NM_183048, ",107.706,79.412,44.305,53.559,34.925,18.881,13.662,47.156,24.417,42.831,67.41
C3orf47,"NR_026991, ",0.359,0.436,0.492,0.45,1.16,1.307,1.026,0.248,0.54,1.299,1.375
GATAD2A,"NM_017660, ",12.529,10.021,8.174,9.697,16.368,14.768,13.502,13.474,10.236,20.237,18.401
PDXK,"NM_003681, ",0.913,2.701,1.572,1.944,0.428,0.979,12.201,24.125,4.008,5.721,4.863
PTGES3,"NM_006601, ",485.56,483.696,551.444,392.808,242.292,319.812,809.006,827.416,626.851,411.004,442.22
CCM2,"NM_001029835, NM_001167934, NM_001167935, NM_031443, NR_030770, ",1.199,1.022,0.686,2.86,2.356,6.717,16.273,11.183,38.725,11.852,5.7
TAP1,"NM_000593, NM_000593, NM_000593, NM_000593, NM_000593, NM_000593, NM_000593, NM_000593, ",0.0,0.0,0.0,0.127,0.1,1.35,0.0,0.0,0.0,0.628,1.67
ZNF670,"NM_033213, ",1.806,3.589,1.458,0.317,28.236,20.684,6.845,0.249,1.173,9.883,11.918
